Date,Close/Last,Volume,Open,High,Low
09/26/2022,$303.57,1476400,$308.91,$312.98,$302.92
09/23/2022,$307.6,1839908,$310.29,$311,$302.18
09/22/2022,$313.07,2290501,$320.34,$321.12,$312.27
09/21/2022,$322.86,1800932,$332.42,$337.54,$322.85
09/20/2022,$329.9,1162544,$331.68,$332.49,$327.98
09/19/2022,$334.35,1417477,$333.24,$338.142,$330.14
09/16/2022,$335.53,4219260,$334.92,$338.16,$328.25
09/15/2022,$337.36,1577641,$344.64,$344.64,$334.38
09/14/2022,$346.61,1803010,$343.54,$349.76,$337.82
09/13/2022,$340.68,2326580,$342.98,$348.32,$339.53
09/12/2022,$357.47,1141339,$356.94,$359.42,$352.75
09/09/2022,$358.67,1655431,$356.86,$362.73,$356.86
09/08/2022,$351.09,2258265,$335.83,$351.43,$332.8
09/07/2022,$337.82,1604872,$332.12,$340.85,$328.74
09/06/2022,$330.58,1402842,$333.81,$337.06,$326.71
09/02/2022,$335.25,1300820,$341.77,$345.32,$332.98
09/01/2022,$337.11,1870424,$334.86,$337.88,$328.99
08/31/2022,$344.13,1564840,$349.84,$349.84,$339.85
08/30/2022,$347.14,1416757,$357.3,$357.3999,$343.445
08/29/2022,$353.38,1319884,$353.49,$359.725,$351.27
08/26/2022,$359.18,1604358,$375.22,$377,$359
08/25/2022,$376.72,1285317,$364.14,$377.35,$362.74
08/24/2022,$362.67,938639,$360.26,$365.57,$357.68
08/23/2022,$362.45,860295,$361.69,$369.19,$361.27
08/22/2022,$359.8,1338906,$363.7,$366.37,$358.07
08/19/2022,$371.81,1257344,$376.4,$378.805,$369.22
08/18/2022,$382.02,1119324,$376.5,$384.045,$373.64
08/17/2022,$375.09,1198393,$376.86,$379.16,$369.19
08/16/2022,$380.73,872660,$383.95,$385.985,$378.4
08/15/2022,$384.32,1303574,$378,$385.65,$374.0901
08/12/2022,$381.2,1137117,$374.38,$383.78,$372.49
08/11/2022,$372.75,1323832,$375.48,$385.618,$371.085
08/10/2022,$374.51,1755517,$368,$375.5,$363.69
08/09/2022,$358.32,3194605,$374.53,$374.56,$355.68
08/08/2022,$387.68,1600131,$390.85,$396.69,$381.4
08/05/2022,$395.74,1213816,$389.09,$397.47,$386
08/04/2022,$397.4,1156357,$398,$398.96,$393.5869
08/03/2022,$395.93,1354641,$383.11,$397.8,$383.11
08/02/2022,$382.69,1205978,$383.71,$390.045,$379.3
08/01/2022,$385.64,1029384,$381.19,$390.7,$378.47
07/29/2022,$383.54,1826992,$362.04,$388.2,$360.18
07/28/2022,$369.98,1315202,$361.14,$371.32,$353.98
07/27/2022,$361.14,1318223,$350.28,$364.5,$349.97
07/26/2022,$345.91,835916,$349.86,$352.375,$344.17
07/25/2022,$350.6,986458,$348.34,$351.61,$342.99
07/22/2022,$354.02,1468326,$360.47,$360.47,$351.77
07/21/2022,$360.54,1243992,$358.18,$361.37,$352.5
07/20/2022,$356.45,1689224,$343.66,$357.6,$342.07
07/19/2022,$345.58,2044785,$334.13,$346.19,$333.33
07/18/2022,$329.49,1683142,$331.5,$340.85,$326.51
07/15/2022,$326.23,1238495,$322.27,$326.27,$316.645
07/14/2022,$319.09,1628896,$311.04,$321.28,$302.11
07/13/2022,$313.12,1055957,$307.63,$316.57,$306.4
07/12/2022,$313.78,1078425,$315.15,$319.4999,$311.49
07/11/2022,$313.17,1384541,$312.91,$316.5,$308
07/08/2022,$316.84,1007002,$309.28,$318.82,$308.44
07/07/2022,$314.17,1887008,$301.34,$315.63,$299.2801
07/06/2022,$293,2201210,$295.4,$297.26,$290.824
07/05/2022,$295.56,2222636,$286.28,$295.73,$282.83
07/01/2022,$296.26,2323600,$309.64,$313.69,$292.1201
06/30/2022,$319.08,1302591,$315.74,$325.6,$313.18
06/29/2022,$320.57,1226112,$323.58,$325.2,$316.21
06/28/2022,$330.09,1283087,$341.49,$345.24,$328.4
06/27/2022,$338.59,1369936,$342.82,$344.9366,$335.02
06/24/2022,$339.5,1924481,$327.92,$339.57,$324.34
06/23/2022,$320.66,1330261,$326.42,$327.6,$316.17
06/22/2022,$324.44,1077196,$317.95,$329.33,$316.12
06/21/2022,$327.22,1370343,$319.49,$332.59,$317.73
06/17/2022,$311.93,3072052,$311.21,$316.4,$304.95
06/16/2022,$310.4,2211580,$319.1,$321.61,$306.53
06/15/2022,$323.79,1214694,$322.39,$329.48,$316.21
06/14/2022,$316.47,1170299,$318.75,$320.63,$311.64
06/13/2022,$313.88,1904171,$322.33,$325.25,$312.665
06/10/2022,$333.66,1227342,$343.71,$345.81,$333.29
06/09/2022,$349.58,908842,$357.24,$363.83,$349.5
06/08/2022,$361.48,891876,$366.1,$367.16,$357.29
06/07/2022,$367.22,675946,$358.59,$368.71,$355.3004
06/06/2022,$362.47,582306,$370.16,$371.58,$360.0938
06/03/2022,$362.44,799931,$362.91,$366.39,$359.365
06/02/2022,$371.77,1161457,$355.96,$371.99,$354.14
06/01/2022,$356.99,1110093,$366.53,$369.04,$350.78
05/31/2022,$364.85,1592659,$366.3,$367.68,$357.77
05/27/2022,$371.27,1456200,$358.04,$372.34,$358.04
05/26/2022,$353.28,1435048,$333.23,$354.51,$333.1
05/25/2022,$337.98,1166479,$328.58,$339.86,$327.555
05/24/2022,$330.09,1308250,$337.02,$338.96,$326.58
05/23/2022,$341.18,1085900,$336.8,$345.47,$335.69
05/20/2022,$335.48,1996953,$342.68,$346.74,$318.03
05/19/2022,$338.52,1450789,$332.74,$346.43,$331.775
05/18/2022,$333.85,1668629,$345.09,$350.98,$331.45
05/17/2022,$351.51,1657405,$340.15,$353.13,$337.55
05/16/2022,$330.54,937178,$331.97,$337.74,$328.91
05/13/2022,$336.42,1982297,$320.34,$337.71,$318.02
